"$ millions, unless otherwise indicated",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total External debt stocks,44940.7,53925.8,61613.1,65484.3,72454.1,77832.9,85665.5,104090.7,106855.3,117338.1,125065.0,136213.2
Use of IMF Credit and SDR allocations,529.4,496.0,483.8,484.8,456.1,436.2,423.2,448.3,437.8,435.3,453.4,1987.4
    Long-term external debt,37478.8,42648.4,48778.9,52830.2,58393.9,65406.0,72522.2,81744.3,86832.6,92505.5,98008.0,100992.8
    Public and publicly guaranteed sector,32798.8,36786.4,39972.9,42969.5,44834.7,46366.9,48038.7,51790.5,52115.5,51782.5,52200.0,48535.7
        Public sector,32798.8,36670.4,39817.4,42760.0,44606.7,46148.8,47843.1,51620.2,51970.6,51662.9,52105.8,48466.9
            of which: General Government,26995.1,29550.5,30558.7,30947.0,31119.3,32055.6,33256.9,36159.8,36739.3,36672.3,36976.4,34200.9
        Private sector guaranteed by public sector,,116.0,155.5,209.5,228.0,218.1,195.6,170.2,144.9,119.6,94.2,68.9
    Private sector not guaranteed,4680.0,5862.0,8806.0,9860.7,13559.2,19039.2,24483.6,29953.8,34717.1,40723.1,45808.0,52457.0
    Short-term external debt,6932.5,10781.4,12350.4,12169.3,13604.2,11990.7,12720.0,21898.1,19584.9,24397.2,26603.7,33233.0
Disbursements (long-term),6921.8,6968.0,8727.7,9493.2,13808.3,12951.1,13117.8,18660.7,20335.9,18674.4,17467.0,23371.0
    Public and publicly guaranteed sector,5637.1,4751.0,5958.7,7060.5,7491.9,4426.2,4463.6,4270.0,3210.0,2403.6,2264.5,1853.4
        Public sector,5637.1,4635.0,5919.2,7006.5,7473.4,4426.2,4463.6,4270.0,3210.0,2403.6,2264.5,1853.4
            of which: General Government,4309.4,2912.1,3113.6,3600.9,4596.5,2770.7,2852.4,2747.3,2147.1,1443.3,1311.3,1070.8
        Private sector guaranteed by public sector,0.0,116.0,39.5,54.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Private sector not guaranteed,1284.6,2217.0,2769.0,2432.7,6316.4,8524.9,8654.1,14390.7,17125.9,16270.8,15202.5,21517.6
Principal repayments (long-term),1055.0,3080.4,3280.2,3285.5,5317.6,4928.4,5739.9,11249.7,14713.9,13039.9,13784.9,18113.7
    Public and publicly guaranteed sector,1055.0,1199.4,1477.2,1907.5,2699.7,1883.4,2530.1,2329.2,2586.6,2775.0,3667.3,3245.2
        Public sector,1055.0,1199.4,1477.2,1907.5,2699.7,1873.5,2507.6,2303.9,2561.3,2749.7,3642.0,3219.8
            of which: General Government,695.6,795.4,929.4,1242.9,1946.8,1046.0,1519.9,1273.1,1407.1,1579.7,2460.6,1906.2
        Private sector guaranteed by public sector,,,,,,9.9,22.6,25.3,25.3,25.3,25.3,25.3
    Private sector not guaranteed,,1881.0,1803.0,1378.0,2617.9,3045.0,3209.7,8920.4,12127.3,10264.9,10117.6,14868.6
Interest payments (long-term),707.2,902.9,1012.8,1076.6,1240.2,1538.1,1411.5,2058.8,2720.6,2678.3,1870.3,1514.7
    Public and publicly guaranteed sector,563.3,689.5,744.9,765.7,810.8,821.6,879.1,939.8,1016.5,1062.0,886.2,702.3
        Public sector,563.3,689.4,742.0,762.1,807.0,817.7,874.5,934.8,1011.4,1056.2,883.3,701.0
